Epoch [1/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [20/100], Training Loss (MSE): 0.0127, Validation Loss (MSE): 0.0135, Validation Loss (MAE): 0.0692
Epoch [21/100], Training Loss (MSE): 0.0124, Validation Loss (MSE): 0.0132, Validation Loss (MAE): 0.0712
Epoch [22/100], Training Loss (MSE): 0.0122, Validation Loss (MSE): 0.0129, Validation Loss (MAE): 0.0692
Epoch [23/100], Training Loss (MSE): 0.0120, Validation Loss (MSE): 0.0127, Validation Loss (MAE): 0.0683
Epoch [24/100], Training Loss (MSE): 0.0121, Validation Loss (MSE): 0.0128, Validation Loss (MAE): 0.0666
Epoch [25/100], Training Loss (MSE): 0.0118, Validation Loss (MSE): 0.0125, Validation Loss (MAE): 0.0673
Epoch [26/100], Training Loss (MSE): 0.0117, Validation Loss (MSE): 0.0124, Validation Loss (MAE): 0.0670
Epoch [27/100], Training Loss (MSE): 0.0116, Validation Loss (MSE): 0.0123, Validation Loss (MAE): 0.0667
Epoch [28/100], Training Loss (MSE): 0.0116, Validation Loss (MSE): 0.0124, Validation Loss (MAE): 0.0684
Epoch [29/100], Training Loss (MSE): 0.0115, Validation Loss (MSE): 0.0122, Validation Loss (MAE): 0.0674
Epoch [30/100], Training Loss (MSE): 0.0114, Validation Loss (MSE): 0.0121, Validation Loss (MAE): 0.0662
Epoch [31/100], Training Loss (MSE): 0.0113, Validation Loss (MSE): 0.0120, Validation Loss (MAE): 0.0653
Epoch [32/100], Training Loss (MSE): 0.0113, Validation Loss (MSE): 0.0120, Validation Loss (MAE): 0.0650
Epoch [33/100], Training Loss (MSE): 0.0112, Validation Loss (MSE): 0.0119, Validation Loss (MAE): 0.0657
Epoch [34/100], Training Loss (MSE): 0.0112, Validation Loss (MSE): 0.0120, Validation Loss (MAE): 0.0668
Epoch [35/100], Training Loss (MSE): 0.0111, Validation Loss (MSE): 0.0119, Validation Loss (MAE): 0.0658
Epoch [36/100], Training Loss (MSE): 0.0111, Validation Loss (MSE): 0.0118, Validation Loss (MAE): 0.0645
Epoch [37/100], Training Loss (MSE): 0.0110, Validation Loss (MSE): 0.0117, Validation Loss (MAE): 0.0652
Epoch [38/100], Training Loss (MSE): 0.0110, Validation Loss (MSE): 0.0117, Validation Loss (MAE): 0.0646
Epoch [39/100], Training Loss (MSE): 0.0111, Validation Loss (MSE): 0.0118, Validation Loss (MAE): 0.0665
Epoch [40/100], Training Loss (MSE): 0.0110, Validation Loss (MSE): 0.0117, Validation Loss (MAE): 0.0641
Epoch [41/100], Training Loss (MSE): 0.0109, Validation Loss (MSE): 0.0116, Validation Loss (MAE): 0.0637
Epoch [42/100], Training Loss (MSE): 0.0108, Validation Loss (MSE): 0.0115, Validation Loss (MAE): 0.0639
Epoch [43/100], Training Loss (MSE): 0.0109, Validation Loss (MSE): 0.0116, Validation Loss (MAE): 0.0654
Epoch [44/100], Training Loss (MSE): 0.0109, Validation Loss (MSE): 0.0116, Validation Loss (MAE): 0.0646
Epoch [45/100], Training Loss (MSE): 0.0108, Validation Loss (MSE): 0.0115, Validation Loss (MAE): 0.0643
Epoch [46/100], Training Loss (MSE): 0.0107, Validation Loss (MSE): 0.0114, Validation Loss (MAE): 0.0632
Epoch [47/100], Training Loss (MSE): 0.0107, Validation Loss (MSE): 0.0114, Validation Loss (MAE): 0.0637
Epoch [48/100], Training Loss (MSE): 0.0107, Validation Loss (MSE): 0.0114, Validation Loss (MAE): 0.0627
Epoch [49/100], Training Loss (MSE): 0.0106, Validation Loss (MSE): 0.0113, Validation Loss (MAE): 0.0633
Epoch [50/100], Training Loss (MSE): 0.0107, Validation Loss (MSE): 0.0114, Validation Loss (MAE): 0.0623
Epoch [51/100], Training Loss (MSE): 0.0105, Validation Loss (MSE): 0.0113, Validation Loss (MAE): 0.0620
Epoch [52/100], Training Loss (MSE): 0.0105, Validation Loss (MSE): 0.0112, Validation Loss (MAE): 0.0626
Epoch [53/100], Training Loss (MSE): 0.0106, Validation Loss (MSE): 0.0113, Validation Loss (MAE): 0.0635
Epoch [54/100], Training Loss (MSE): 0.0105, Validation Loss (MSE): 0.0112, Validation Loss (MAE): 0.0641
Epoch [55/100], Training Loss (MSE): 0.0104, Validation Loss (MSE): 0.0111, Validation Loss (MAE): 0.0623
Epoch [56/100], Training Loss (MSE): 0.0104, Validation Loss (MSE): 0.0112, Validation Loss (MAE): 0.0635
Epoch [57/100], Training Loss (MSE): 0.0104, Validation Loss (MSE): 0.0111, Validation Loss (MAE): 0.0629
Epoch [58/100], Training Loss (MSE): 0.0104, Validation Loss (MSE): 0.0111, Validation Loss (MAE): 0.0633
Epoch [59/100], Training Loss (MSE): 0.0103, Validation Loss (MSE): 0.0110, Validation Loss (MAE): 0.0622
Epoch [60/100], Training Loss (MSE): 0.0104, Validation Loss (MSE): 0.0111, Validation Loss (MAE): 0.0631
Epoch [61/100], Training Loss (MSE): 0.0102, Validation Loss (MSE): 0.0109, Validation Loss (MAE): 0.0624
Epoch [62/100], Training Loss (MSE): 0.0102, Validation Loss (MSE): 0.0109, Validation Loss (MAE): 0.0616
Epoch [63/100], Training Loss (MSE): 0.0102, Validation Loss (MSE): 0.0110, Validation Loss (MAE): 0.0627
Epoch [64/100], Training Loss (MSE): 0.0102, Validation Loss (MSE): 0.0110, Validation Loss (MAE): 0.0625
Epoch [65/100], Training Loss (MSE): 0.0101, Validation Loss (MSE): 0.0108, Validation Loss (MAE): 0.0613
Epoch [66/100], Training Loss (MSE): 0.0101, Validation Loss (MSE): 0.0109, Validation Loss (MAE): 0.0599
Epoch [67/100], Training Loss (MSE): 0.0103, Validation Loss (MSE): 0.0110, Validation Loss (MAE): 0.0599
Epoch [68/100], Training Loss (MSE): 0.0100, Validation Loss (MSE): 0.0108, Validation Loss (MAE): 0.0615
Epoch [69/100], Training Loss (MSE): 0.0101, Validation Loss (MSE): 0.0108, Validation Loss (MAE): 0.0610
Epoch [70/100], Training Loss (MSE): 0.0099, Validation Loss (MSE): 0.0106, Validation Loss (MAE): 0.0609
Epoch [71/100], Training Loss (MSE): 0.0100, Validation Loss (MSE): 0.0107, Validation Loss (MAE): 0.0602
Epoch [72/100], Training Loss (MSE): 0.0100, Validation Loss (MSE): 0.0107, Validation Loss (MAE): 0.0595
Epoch [73/100], Training Loss (MSE): 0.0098, Validation Loss (MSE): 0.0105, Validation Loss (MAE): 0.0602
Epoch [74/100], Training Loss (MSE): 0.0099, Validation Loss (MSE): 0.0106, Validation Loss (MAE): 0.0602
Epoch [75/100], Training Loss (MSE): 0.0098, Validation Loss (MSE): 0.0105, Validation Loss (MAE): 0.0600
Epoch [76/100], Training Loss (MSE): 0.0099, Validation Loss (MSE): 0.0106, Validation Loss (MAE): 0.0611
Epoch [77/100], Training Loss (MSE): 0.0098, Validation Loss (MSE): 0.0105, Validation Loss (MAE): 0.0606
Epoch [78/100], Training Loss (MSE): 0.0097, Validation Loss (MSE): 0.0104, Validation Loss (MAE): 0.0592
Epoch [79/100], Training Loss (MSE): 0.0097, Validation Loss (MSE): 0.0104, Validation Loss (MAE): 0.0593
Epoch [80/100], Training Loss (MSE): 0.0097, Validation Loss (MSE): 0.0105, Validation Loss (MAE): 0.0590
Epoch [81/100], Training Loss (MSE): 0.0096, Validation Loss (MSE): 0.0103, Validation Loss (MAE): 0.0595
Epoch [82/100], Training Loss (MSE): 0.0097, Validation Loss (MSE): 0.0104, Validation Loss (MAE): 0.0592
Epoch [83/100], Training Loss (MSE): 0.0097, Validation Loss (MSE): 0.0104, Validation Loss (MAE): 0.0591
Epoch [84/100], Training Loss (MSE): 0.0096, Validation Loss (MSE): 0.0103, Validation Loss (MAE): 0.0590
Epoch [85/100], Training Loss (MSE): 0.0097, Validation Loss (MSE): 0.0104, Validation Loss (MAE): 0.0583
Epoch [86/100], Training Loss (MSE): 0.0097, Validation Loss (MSE): 0.0104, Validation Loss (MAE): 0.0588
Epoch [87/100], Training Loss (MSE): 0.0095, Validation Loss (MSE): 0.0102, Validation Loss (MAE): 0.0587
Epoch [88/100], Training Loss (MSE): 0.0095, Validation Loss (MSE): 0.0102, Validation Loss (MAE): 0.0593
Epoch [89/100], Training Loss (MSE): 0.0095, Validation Loss (MSE): 0.0102, Validation Loss (MAE): 0.0597
Epoch [90/100], Training Loss (MSE): 0.0096, Validation Loss (MSE): 0.0103, Validation Loss (MAE): 0.0581
Epoch [91/100], Training Loss (MSE): 0.0094, Validation Loss (MSE): 0.0101, Validation Loss (MAE): 0.0591
Epoch [92/100], Training Loss (MSE): 0.0094, Validation Loss (MSE): 0.0102, Validation Loss (MAE): 0.0580
Epoch [93/100], Training Loss (MSE): 0.0094, Validation Loss (MSE): 0.0101, Validation Loss (MAE): 0.0587
Epoch [94/100], Training Loss (MSE): 0.0094, Validation Loss (MSE): 0.0101, Validation Loss (MAE): 0.0579
Epoch [95/100], Training Loss (MSE): 0.0094, Validation Loss (MSE): 0.0102, Validation Loss (MAE): 0.0584
Epoch [96/100], Training Loss (MSE): 0.0094, Validation Loss (MSE): 0.0101, Validation Loss (MAE): 0.0589
Epoch [97/100], Training Loss (MSE): 0.0093, Validation Loss (MSE): 0.0100, Validation Loss (MAE): 0.0579
Epoch [98/100], Training Loss (MSE): 0.0093, Validation Loss (MSE): 0.0100, Validation Loss (MAE): 0.0578
Epoch [99/100], Training Loss (MSE): 0.0094, Validation Loss (MSE): 0.0102, Validation Loss (MAE): 0.0599
Epoch [100/100], Training Loss (MSE): 0.0093, Validation Loss (MSE): 0.0100, Validation Loss (MAE): 0.0578
Training finished.
Images saved to 'results'
